price_day_person,location,capacity,bedroom_num,beds_num
44€ pers./noche (aprox),Vilagarcía de Arousa,"1 - 
  19 personas",8 dormitorios,15 camas
24€ pers./noche (aprox),Bugallido (Ames),"2 - 
  10 personas",4 dormitorios,8 camas
25€ pers./noche (aprox),Palas de Rei,"2 - 
  4 personas",1 dormitorio,2 camas
21€ pers./noche (aprox),Becerreá,"2 - 
  14 personas",5 dormitorios,9 camas
36€ pers./noche (aprox),Cangas do Morrazo,"2 - 
  6 personas",3 dormitorios,5 camas
25€ pers./noche (aprox),Lousame,"1 - 
  12 personas",6 dormitorios,8 camas
24€ pers./noche (aprox),Cotobade,"2 - 
  6 personas",3 dormitorios,3 camas
35€ pers./noche (aprox),Vilaboa,"2 - 
  11 personas",5 dormitorios,8 camas
41€ pers./noche (aprox),Cambados,"1 - 
  15 personas",7 dormitorios,12 camas
17€ pers./noche (aprox),Fornelos de Montes,"6 - 
  25 personas",8 dormitorios,19 camas
18€ pers./noche (aprox),Boiro,"1 - 
  11 personas",4 dormitorios,9 camas
28€ pers./noche (aprox),Cee,"1 - 
  15 personas",6 dormitorios,12 camas
22€ pers./noche (aprox),Mondariz,6 personas,3 dormitorios,4 camas
30€ pers./noche (aprox),Cambados,Íntegro o habitaciones,20 personas,16 dormitorios
32€ pers./noche (aprox),Campo Lameiro,"2 - 
  10 personas",5 dormitorios,5 camas
39€ pers./noche (aprox),Ortigueira,Íntegro o habitaciones,"2 - 
  12 personas",7 camas
22€ pers./noche (aprox),Ponteareas,"4 - 
  12 personas",4 dormitorios,6 camas
18€ pers./noche (aprox),Forcarei,"2 - 
  16 personas",5 dormitorios,9 camas
29€ pers./noche (aprox),Cambados,Íntegro o habitaciones,"2 - 
  10 personas",5 dormitorios
20€ pers./noche (aprox),Perbes,"2 - 
  5 personas",3 dormitorios,3 camas
20€ pers./noche (aprox),Cospeito,"2 - 
  9 personas",4 dormitorios,7 camas
16€ pers./noche (aprox),Muxía,12 personas,6 dormitorios,7 camas
19€ pers./noche (aprox),Ribadeo,"1 - 
  4 personas",1 dormitorio,1 cama
14€ pers./noche (aprox),Cabanas,"2 - 
  21 personas",15 dormitorios,15 camas
53€ pers./noche (aprox),A Baña,"6 - 
  21 personas",3 dormitorios,15 camas
22€ pers./noche (aprox),Meis,"1 - 
  8 personas",4 dormitorios,6 camas
27€ pers./noche (aprox),Tui,"4 - 
  11 personas",2 dormitorios,10 camas
23€ pers./noche (aprox),Tui,"7 - 
  19 personas",14 dormitorios,12 camas
31€ pers./noche (aprox),Santiago de Compostela,"2 - 
  15 personas",5 dormitorios,9 camas
23€ pers./noche (aprox),Soutomaior,"4 - 
  20 personas",7 dormitorios,15 camas
28€ pers./noche (aprox),Pedre,16 personas,6 dormitorios,16 camas
27€ pers./noche (aprox),Outes,"2 - 
  18 personas",7 dormitorios,12 camas
15€ pers./noche (aprox),Santiago de Compostela,"1 - 
  14 personas",7 dormitorios,7 camas
39€ pers./noche (aprox),Rois,"1 - 
  7 personas",3 dormitorios,5 camas
30€ pers./noche (aprox),Friol,"6 - 
  8 personas",3 dormitorios,6 camas
29€ pers./noche (aprox),Ames,14 personas,6 dormitorios,9 camas
25€ pers./noche (aprox),Canduas,"2 - 
  26 personas",12 dormitorios,16 camas
47€ pers./noche (aprox),O Pino,Íntegro o habitaciones,"24 - 
  73 personas",12 dormitorios
21€ pers./noche (aprox),Xil,"1 - 
  7 personas",3 dormitorios,5 camas
28€ pers./noche (aprox),Oroso,8 personas,5 dormitorios,6 camas
31€ pers./noche (aprox),Cambados,"1 - 
  15 personas",6 dormitorios,10 camas
22€ pers./noche (aprox),Rianxo,"6 - 
  11 personas",5 dormitorios,8 camas
29€ pers./noche (aprox),Curtis,"2 - 
  10 personas",4 dormitorios,9 camas
29€ pers./noche (aprox),Cangas do Morrazo,8 personas,4 dormitorios,7 camas
28€ pers./noche (aprox),Rianxo,Íntegro o habitaciones,"2 - 
  12 personas",6 dormitorios
36€ pers./noche (aprox),O Hío,"2 - 
  10 personas",5 dormitorios,5 camas
29€ pers./noche (aprox),A Fonsagrada,"1 - 
  9 personas",5 dormitorios,5 camas
23€ pers./noche (aprox),Cuntis,12 personas,6 dormitorios,7 camas
20€ pers./noche (aprox),Ourense,"4 - 
  20 personas",9 dormitorios,11 camas
25€ pers./noche (aprox),Sanxenxo,Íntegro o habitaciones,"8 - 
  17 personas",8 dormitorios
26€ pers./noche (aprox),Monterroso,"4 - 
  24 personas",8 dormitorios,24 camas
25€ pers./noche (aprox),Fornelos de Montes,"1 - 
  12 personas",5 dormitorios,11 camas
12€ pers./noche (aprox),Folgoso do Courel,12 personas,10 camas,12€ pers./noche (aprox)
31€ pers./noche (aprox),Poio,"2 - 
  12 personas",5 dormitorios,8 camas
20€ pers./noche (aprox),Forcarei,12 personas,6 dormitorios,7 camas
24€ pers./noche (aprox),Vilalba,"10 - 
  28 personas",10 dormitorios,19 camas
20€ pers./noche (aprox),Carballedo,"2 - 
  10 personas",4 dormitorios,5 camas
30€ pers./noche (aprox),Boiro,Íntegro o habitaciones,13 personas,5 dormitorios
26€ pers./noche (aprox),A Fonsagrada,"1 - 
  37 personas",10 dormitorios,30 camas
26€ pers./noche (aprox),Pontevedra,7 personas,3 dormitorios,5 camas
19€ pers./noche (aprox),Melide,"1 - 
  10 personas",5 dormitorios,5 camas
34€ pers./noche (aprox),Sanxenxo,"2 - 
  4 personas",1 dormitorio,2 camas
30€ pers./noche (aprox),Covelo,"1 - 
  30 personas",10 dormitorios,20 camas
27€ pers./noche (aprox),Celeiros,"8 - 
  16 personas",8 dormitorios,14 camas
25€ pers./noche (aprox),Trazo,6 personas,3 dormitorios,6 camas
17€ pers./noche (aprox),Cerdedo,"1 - 
  14 personas",6 dormitorios,12 camas
14€ pers./noche (aprox),Vimianzo,11 personas,4 dormitorios,7 camas
18€ pers./noche (aprox),Dumbría,"10 - 
  14 personas",6 dormitorios,10 camas
17€ pers./noche (aprox),Camelle,"2 - 
  8 personas",3 dormitorios,4 camas
18€ pers./noche (aprox),A Pontenova,25 personas,6 dormitorios,11 camas
23€ pers./noche (aprox),Valga,"2 - 
  6 personas",3 dormitorios,4 camas
23€ pers./noche (aprox),Salvaterra de Miño,"4 - 
  10 personas",4 dormitorios,8 camas
23€ pers./noche (aprox),Os Ánxeles (Boimorto),"2 - 
  15 personas",6 dormitorios,13 camas
24€ pers./noche (aprox),Cabana de Bergantiños,"5 - 
  5 personas",3 dormitorios,4 camas
19€ pers./noche (aprox),Carnota,"6 - 
  6 personas",4 dormitorios,4 camas
31€ pers./noche (aprox),Valga,Íntegro o habitaciones,"2 - 
  19 personas",10 dormitorios
13€ pers./noche (aprox),Val do Dubra,"2 - 
  10 personas",5 dormitorios,7 camas
22€ pers./noche (aprox),Trabada,Íntegro o habitaciones,"1 - 
  16 personas",9 dormitorios
20€ pers./noche (aprox),Ribadeo,"4 - 
  18 personas",9 dormitorios,6 camas
34€ pers./noche (aprox),Portas,"1 - 
  2 personas",1 dormitorio,1 cama
28€ pers./noche (aprox),A Lama,"6 - 
  8 personas",1 dormitorio,4 camas
32€ pers./noche (aprox),Friol,"1 - 
  21 personas",9 dormitorios,13 camas
25€ pers./noche (aprox),Oza-Cesuras,"2 - 
  10 personas",2 dormitorios,8 camas
39€ pers./noche (aprox),Portas,4 personas,3 camas,39€ pers./noche (aprox)
30€ pers./noche (aprox),Boqueixón,"1 - 
  21 personas",9 dormitorios,13 camas
22€ pers./noche (aprox),Navia de Suarna,"4 - 
  6 personas",2 dormitorios,4 camas
34€ pers./noche (aprox),Mos,"2 - 
  7 personas",3 dormitorios,6 camas
29€ pers./noche (aprox),Sanxenxo,12 personas,3 dormitorios,6 camas
29€ pers./noche (aprox),Outes,"2 - 
  7 personas",2 dormitorios,6 camas
14€ pers./noche (aprox),Cenlle,"2 - 
  6 personas",3 dormitorios,5 camas
25€ pers./noche (aprox),Gomesende,"2 - 
  9 personas",4 dormitorios,6 camas
20€ pers./noche (aprox),Cee,10 personas,4 dormitorios,6 camas
17€ pers./noche (aprox),Corcoesto,"8 - 
  10 personas",5 dormitorios,5 camas
15€ pers./noche (aprox),Ribadumia,10 personas,5 dormitorios,5 camas
20€ pers./noche (aprox),Lobios,"1 - 
  8 personas",4 dormitorios,4 camas
21€ pers./noche (aprox),Ribadeo,"2 - 
  26 personas",7 dormitorios,17 camas
22€ pers./noche (aprox),Vilaboa,"6 - 
  12 personas",6 dormitorios,6 camas
21€ pers./noche (aprox),A Estrada,"6 - 
  25 personas",8 dormitorios,21 camas
25€ pers./noche (aprox),Arteixo,"2 - 
  16 personas",5 dormitorios,10 camas
14€ pers./noche (aprox),Moraña,11 personas,6 dormitorios,8 camas
18€ pers./noche (aprox),Fisterra,"1 - 
  8 personas",3 dormitorios,3 camas
12€ pers./noche (aprox),Carnota,"2 - 
  8 personas",4 dormitorios,5 camas
15€ pers./noche (aprox),Covelo,7 personas,4 dormitorios,6 camas
24€ pers./noche (aprox),Santiago de Compostela,"4 - 
  12 personas",4 dormitorios,8 camas
34€ pers./noche (aprox),O Viso,"2 - 
  8 personas",6 dormitorios,5 camas
22€ pers./noche (aprox),Anceu,"8 - 
  9 personas",4 dormitorios,7 camas
16€ pers./noche (aprox),Cerdedo,8 personas,3 dormitorios,6 camas
16€ pers./noche (aprox),A Estrada,"8 - 
  11 personas",5 dormitorios,7 camas
22€ pers./noche (aprox),Alban,"14 - 
  18 personas",6 dormitorios,12 camas
27€ pers./noche (aprox),Marín,"2 - 
  11 personas",4 dormitorios,7 camas
21€ pers./noche (aprox),Bande,10 personas,5 dormitorios,7 camas
31€ pers./noche (aprox),Chantada,"2 - 
  15 personas",6 dormitorios,12 camas
17€ pers./noche (aprox),Ribadumia,"1 - 
  13 personas",7 dormitorios,9 camas
26€ pers./noche (aprox),Santiago de Compostela,"2 - 
  14 personas",4 dormitorios,15 camas
24€ pers./noche (aprox),Ribadeo,"1 - 
  14 personas",3 dormitorios,8 camas
29€ pers./noche (aprox),Covelo,"1 - 
  6 personas",3 dormitorios,5 camas
33€ pers./noche (aprox),Arzúa,"2 - 
  65 personas",32 dormitorios,48 camas
18€ pers./noche (aprox),Ribadumia,"2 - 
  12 personas",3 dormitorios,6 camas
25€ pers./noche (aprox),Poio,"2 - 
  12 personas",5 dormitorios,7 camas
22€ pers./noche (aprox),Sober,"2 - 
  10 personas",5 dormitorios,6 camas
25€ pers./noche (aprox),A Estrada,"2 - 
  6 personas",2 dormitorios,4 camas
33€ pers./noche (aprox),Melide,"2 - 
  6 personas",3 dormitorios,5 camas
37€ pers./noche (aprox),A Pobra de Trives,Íntegro o habitaciones,"2 - 
  22 personas",6 dormitorios
17€ pers./noche (aprox),Baio,"1 - 
  16 personas",7 dormitorios,11 camas
35€ pers./noche (aprox),Cambre,"4 - 
  16 personas",6 dormitorios,12 camas
22€ pers./noche (aprox),Barbadás,"1 - 
  6 personas",3 dormitorios,4 camas
19€ pers./noche (aprox),O Valadouro,"1 - 
  7 personas",4 dormitorios,5 camas
27€ pers./noche (aprox),Friol,"6 - 
  11 personas",5 dormitorios,7 camas
20€ pers./noche (aprox),Arzúa,"4 - 
  16 personas",8 dormitorios,15 camas
17€ pers./noche (aprox),Parada de Sil,"2 - 
  32 personas",4 dormitorios,30 camas
37€ pers./noche (aprox),Ribadeo,Íntegro o habitaciones,"2 - 
  44 personas",9 dormitorios
21€ pers./noche (aprox),A Merca,"2 - 
  10 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Camposancos,12 personas,5 dormitorios,10 camas
29€ pers./noche (aprox),Sanxenxo,"1 - 
  8 personas",4 dormitorios,7 camas
47€ pers./noche (aprox),Poio,"1 - 
  25 personas",7 dormitorios,14 camas
34€ pers./noche (aprox),Cambados,"2 - 
  7 personas",2 dormitorios,4 camas
35€ pers./noche (aprox),Ribadumia,"1 - 
  7 personas",3 dormitorios,6 camas
27€ pers./noche (aprox),Noia,9 personas,4 dormitorios,5 camas
37€ pers./noche (aprox),Ribadumia,"2 - 
  4 personas",2 dormitorios,3 camas
18€ pers./noche (aprox),Forcarei,"1 - 
  7 personas",4 dormitorios,4 camas
31€ pers./noche (aprox),Sanxenxo,"1 - 
  10 personas",5 dormitorios,5 camas
28€ pers./noche (aprox),Boiro,Íntegro o habitaciones,"2 - 
  26 personas",9 dormitorios
51€ pers./noche (aprox),Camos,"1 - 
  10 personas",5 dormitorios,7 camas
22€ pers./noche (aprox),Navia de Suarna,Íntegro o habitaciones,"2 - 
  21 personas",7 dormitorios
26€ pers./noche (aprox),O Pereiro de Aguiar,"1 - 
  6 personas",3 dormitorios,4 camas
16€ pers./noche (aprox),Folgoso do Courel,"1 - 
  5 personas",2 dormitorios,4 camas
31€ pers./noche (aprox),Allariz,"10 - 
  14 personas",7 dormitorios,8 camas
23€ pers./noche (aprox),Vilariño,7 personas,3 dormitorios,5 camas
24€ pers./noche (aprox),Ribadavia,"2 - 
  21 personas",5 dormitorios,13 camas
32€ pers./noche (aprox),Santiso,"2 - 
  6 personas",5 dormitorios,6 camas
25€ pers./noche (aprox),Barro,"1 - 
  4 personas",2 dormitorios,3 camas
35€ pers./noche (aprox),Vilaza,"1 - 
  17 personas",6 dormitorios,15 camas
25€ pers./noche (aprox),Armariz,"1 - 
  12 personas",6 dormitorios,9 camas
42€ pers./noche (aprox),Oza dos Ríos,"1 - 
  30 personas",12 dormitorios,20 camas
35€ pers./noche (aprox),Gomesende,"2 - 
  4 personas",2 dormitorios,2 camas
19€ pers./noche (aprox),Combarro,"4 - 
  6 personas",2 dormitorios,4 camas
23€ pers./noche (aprox),Arzúa,13 personas,7 dormitorios,10 camas
29€ pers./noche (aprox),Carballo,6 personas,3 dormitorios,4 camas
21€ pers./noche (aprox),As Nogais,7 personas,3 dormitorios,5 camas
16€ pers./noche (aprox),Folgoso do Courel,"2 - 
  6 personas",3 dormitorios,4 camas
28€ pers./noche (aprox),O Vicedo,Íntegro o habitaciones,"2 - 
  13 personas",7 dormitorios
24€ pers./noche (aprox),Aguasantas,"2 - 
  20 personas",7 dormitorios,14 camas
20€ pers./noche (aprox),As Nogais,"6 - 
  10 personas",4 dormitorios,8 camas
24€ pers./noche (aprox),Ribadeo,"1 - 
  21 personas",13 dormitorios,17 camas
22€ pers./noche (aprox),San Cristovo de Cea,Íntegro o habitaciones,20 personas,7 dormitorios
25€ pers./noche (aprox),Currelos,"1 - 
  10 personas",8 camas,25€ pers./noche (aprox)
31€ pers./noche (aprox),Castroverde,"2 - 
  22 personas",10 dormitorios,17 camas
25€ pers./noche (aprox),Codeseda,"6 - 
  20 personas",9 dormitorios,16 camas
36€ pers./noche (aprox),Muxía,"2 - 
  18 personas",9 dormitorios,10 camas
29€ pers./noche (aprox),Ponteareas,Íntegro o habitaciones,"2 - 
  20 personas",7 dormitorios
43€ pers./noche (aprox),Caldas de Reis,"1 - 
  16 personas",11 dormitorios,9 camas
37€ pers./noche (aprox),A Cañiza,"1 - 
  3 personas",1 dormitorio,2 camas
30€ pers./noche (aprox),Poio,15 personas,8 dormitorios,12 camas
36€ pers./noche (aprox),Poio,11 personas,8 dormitorios,6 camas
46€ pers./noche (aprox),Ortigueira,"4 - 
  8 personas",3 dormitorios,5 camas
29€ pers./noche (aprox),San Pedro de Viana,Íntegro o habitaciones,"1 - 
  26 personas",10 dormitorios
35€ pers./noche (aprox),Tui,"8 - 
  10 personas",6 dormitorios,7 camas
18€ pers./noche (aprox),Pedrafita do Cebreiro,"2 - 
  7 personas",4 dormitorios,5 camas
20€ pers./noche (aprox),Cangas do Morrazo,"4 - 
  36 personas",18 dormitorios,27 camas
23€ pers./noche (aprox),Barreiros,"1 - 
  10 personas",4 dormitorios,7 camas
27€ pers./noche (aprox),Ribadavia,"2 - 
  10 personas",4 dormitorios,7 camas
24€ pers./noche (aprox),Monforte de Lemos,5 personas,2 dormitorios,2 camas
29€ pers./noche (aprox),Muros,"2 - 
  18 personas",13 dormitorios,14 camas
13€ pers./noche (aprox),Trazo,11 personas,5 dormitorios,9 camas
30€ pers./noche (aprox),Palas de Rei,"2 - 
  16 personas",8 dormitorios,10 camas
32€ pers./noche (aprox),Lobios,"5 - 
  6 personas",3 dormitorios,4 camas
12€ pers./noche (aprox),Bastavales,"5 - 
  6 personas",2 dormitorios,5 camas
36€ pers./noche (aprox),Carnota,Íntegro o habitaciones,"1 - 
  10 personas",5 dormitorios
21€ pers./noche (aprox),Malpica de Bergantiños,4 personas,2 dormitorios,3 camas
22€ pers./noche (aprox),O Grove,"1 - 
  12 personas",5 dormitorios,8 camas
25€ pers./noche (aprox),Vilaboa,Íntegro o habitaciones,"2 - 
  32 personas",9 dormitorios
37€ pers./noche (aprox),Cangas do Morrazo,"1 - 
  12 personas",5 dormitorios,12 camas
32€ pers./noche (aprox),Melide,"4 - 
  11 personas",10 camas,32€ pers./noche (aprox)
25€ pers./noche (aprox),Quiroga,"2 - 
  2 personas",1 cama,25€ pers./noche (aprox)
22€ pers./noche (aprox),Carnota,"8 - 
  10 personas",4 dormitorios,8 camas
27€ pers./noche (aprox),A Baña,"1 - 
  15 personas",3 dormitorios,12 camas
25€ pers./noche (aprox),A Cañiza,15 personas,6 dormitorios,9 camas
28€ pers./noche (aprox),Combarro,"4 - 
  4 personas",2 dormitorios,2 camas
25€ pers./noche (aprox),Monfero,"8 - 
  9 personas",4 dormitorios,6 camas
32€ pers./noche (aprox),Monfero,"2 - 
  20 personas",7 dormitorios,15 camas
21€ pers./noche (aprox),Pontevedra,"6 - 
  16 personas",10 dormitorios,10 camas
25€ pers./noche (aprox),Moraña,"4 - 
  5 personas",2 dormitorios,3 camas
25€ pers./noche (aprox),Doade,9 personas,4 dormitorios,6 camas
21€ pers./noche (aprox),Lantaño,4 personas,2 dormitorios,3 camas
24€ pers./noche (aprox),Montederramo,Íntegro o habitaciones,"2 - 
  21 personas",5 dormitorios
25€ pers./noche (aprox),Ponte Caldelas,"2 - 
  8 personas",3 dormitorios,6 camas
20€ pers./noche (aprox),Pantón,12 personas,6 camas,20€ pers./noche (aprox)
29€ pers./noche (aprox),Parada de Sil,"2 - 
  9 personas",3 dormitorios,7 camas
20€ pers./noche (aprox),Lobeira,7 personas,5 dormitorios,5 camas
16€ pers./noche (aprox),Ponteceso,12 personas,5 dormitorios,11 camas
22€ pers./noche (aprox),Sanxenxo,"2 - 
  24 personas",3 dormitorios,19 camas
37€ pers./noche (aprox),Lira,"2 - 
  12 personas",6 dormitorios,9 camas
31€ pers./noche (aprox),Cespón,"2 - 
  18 personas",10 camas,31€ pers./noche (aprox)
26€ pers./noche (aprox),A Laracha,16 personas,10 dormitorios,11 camas
33€ pers./noche (aprox),Castrelo de Miño,"4 - 
  4 personas",3 dormitorios,3 camas
18€ pers./noche (aprox),Cuntis,"2 - 
  8 personas",4 dormitorios,5 camas
37€ pers./noche (aprox),A Cañiza,"1 - 
  4 personas",2 camas,37€ pers./noche (aprox)
24€ pers./noche (aprox),Trazo,"1 - 
  6 personas",3 dormitorios,6 camas
18€ pers./noche (aprox),Carnota,"4 - 
  5 personas",3 dormitorios,4 camas
26€ pers./noche (aprox),Vilanova de Arousa,"2 - 
  10 personas",5 dormitorios,7 camas
17€ pers./noche (aprox),A Armenteira,6 personas,3 dormitorios,3 camas
23€ pers./noche (aprox),Vedra,10 personas,5 dormitorios,9 camas
27€ pers./noche (aprox),Outes,"2 - 
  18 personas",7 dormitorios,12 camas
20€ pers./noche (aprox),A Estrada,14 personas,5 dormitorios,10 camas
25€ pers./noche (aprox),A Pobra do Brollón,"2 - 
  18 personas",2 dormitorios,11 camas
27€ pers./noche (aprox),Baio,Íntegro o habitaciones,18 personas,8 dormitorios
23€ pers./noche (aprox),Ponte Caldelas,10 personas,4 dormitorios,8 camas
25€ pers./noche (aprox),Gomesende,15 personas,5 dormitorios,8 camas
25€ pers./noche (aprox),Lalín,8 personas,4 dormitorios,6 camas
25€ pers./noche (aprox),Carballo,10 personas,5 dormitorios,7 camas
29€ pers./noche (aprox),Paderne,"2 - 
  14 personas",6 dormitorios,9 camas
28€ pers./noche (aprox),Pontevedra,"2 - 
  10 personas",5 dormitorios,6 camas
20€ pers./noche (aprox),Rianxo,"6 - 
  11 personas",5 dormitorios,7 camas
28€ pers./noche (aprox),Cuntis,"1 - 
  19 personas",10 dormitorios,16 camas
30€ pers./noche (aprox),Cotobade,23 personas,9 dormitorios,19 camas
15€ pers./noche (aprox),Tomiño,"2 - 
  12 personas",5 dormitorios,8 camas
39€ pers./noche (aprox),Paderne,"2 - 
  17 personas",9 dormitorios,9 camas
36€ pers./noche (aprox),Ribadavia,"2 - 
  8 personas",4 dormitorios,6 camas
40€ pers./noche (aprox),Parada de Sil,"1 - 
  4 personas",2 dormitorios,6 camas
19€ pers./noche (aprox),Valga,9 personas,4 dormitorios,5 camas
26€ pers./noche (aprox),Nogueira de Ramuín,4 personas,2 dormitorios,4 camas
30€ pers./noche (aprox),Salvaterra de Miño,12 personas,6 dormitorios,6 camas
26€ pers./noche (aprox),Monfero,"2 - 
  8 personas",3 dormitorios,6 camas
35€ pers./noche (aprox),Esmelle,"2 - 
  8 personas",3 dormitorios,7 camas
49€ pers./noche (aprox),Rinlo,"4 - 
  10 personas",5 dormitorios,5 camas
30€ pers./noche (aprox),Miño,"1 - 
  14 personas",6 dormitorios,10 camas
17€ pers./noche (aprox),Porto do Son,"1 - 
  10 personas",8 camas,17€ pers./noche (aprox)
45€ pers./noche (aprox),Rianxo,Íntegro o habitaciones,"2 - 
  22 personas",10 dormitorios
28€ pers./noche (aprox),O Corgo,"1 - 
  17 personas",7 dormitorios,10 camas
25€ pers./noche (aprox),Serra de Outes,"1 - 
  6 personas",2 dormitorios,5 camas
17€ pers./noche (aprox),A Estrada,"6 - 
  8 personas",3 dormitorios,7 camas
35€ pers./noche (aprox),Muxía,"1 - 
  10 personas",5 dormitorios,5 camas
35€ pers./noche (aprox),Nogueira de Ramuín,"2 - 
  4 personas",1 dormitorio,2 camas
16€ pers./noche (aprox),Cambados,8 personas,4 dormitorios,4 camas
32€ pers./noche (aprox),Ribadeo,"2 - 
  17 personas",17 camas,32€ pers./noche (aprox)
18€ pers./noche (aprox),Camariñas,"2 - 
  12 personas",6 dormitorios,6 camas
16€ pers./noche (aprox),Melide,"4 - 
  8 personas",4 dormitorios,8 camas
22€ pers./noche (aprox),Salvaterra de Miño,"1 - 
  20 personas",10 dormitorios,10 camas
30€ pers./noche (aprox),Santiago de Compostela,"6 - 
  17 personas",16 dormitorios,15 camas
