price_day_person,location,capacity,bedroom_num,beds_num
54€ pers./noche (aprox),Mieres,"2 - 
  17 personas",7 dormitorios,12 camas
25€ pers./noche (aprox),Molló,"2 - 
  22 personas",8 dormitorios,13 camas
31€ pers./noche (aprox),Vilademuls,"1 - 
  24 personas",7 dormitorios,24 camas
28€ pers./noche (aprox),Espolla,"10 - 
  12 personas",5 dormitorios,12 camas
28€ pers./noche (aprox),Ordis,"10 - 
  12 personas",5 dormitorios,7 camas
24€ pers./noche (aprox),Cistella,"8 - 
  9 personas",3 dormitorios,7 camas
26€ pers./noche (aprox),Fornells de la Selva,"14 - 
  19 personas",7 dormitorios,17 camas
18€ pers./noche (aprox),Garriguella,"8 - 
  10 personas",4 dormitorios,10 camas
29€ pers./noche (aprox),Vidrà,"1 - 
  16 personas",7 dormitorios,12 camas
38€ pers./noche (aprox),Cruïlles,"2 - 
  23 personas",15 camas,38€ pers./noche (aprox)
21€ pers./noche (aprox),Bescanó,14 personas,4 dormitorios,12 camas
32€ pers./noche (aprox),Peralada,"12 - 
  14 personas",6 dormitorios,10 camas
28€ pers./noche (aprox),Ventalló,"4 - 
  34 personas",22 camas,28€ pers./noche (aprox)
24€ pers./noche (aprox),Toses,"1 - 
  6 personas",2 dormitorios,4 camas
25€ pers./noche (aprox),Fonolleres,"5 - 
  19 personas",5 dormitorios,15 camas
22€ pers./noche (aprox),Sant Joan les Fonts,"2 - 
  11 personas",4 dormitorios,8 camas
104€ pers./noche (aprox),Forallac,28 personas,8 dormitorios,28 camas
26€ pers./noche (aprox),Toses,Íntegro o habitaciones,"1 - 
  22 personas",20 camas
21€ pers./noche (aprox),Les Llosses,10 personas,3 dormitorios,9 camas
49€ pers./noche (aprox),Camprodon,Íntegro o habitaciones,"1 - 
  16 personas",6 dormitorios
22€ pers./noche (aprox),Les Llosses,"8 - 
  20 personas",3 dormitorios,15 camas
36€ pers./noche (aprox),Girona,"17 - 
  20 personas",7 dormitorios,19 camas
24€ pers./noche (aprox),Pedret i Marzà,"14 - 
  14 personas",7 dormitorios,10 camas
31€ pers./noche (aprox),Vilanova de la Muga,"19 - 
  21 personas",7 dormitorios,15 camas
21€ pers./noche (aprox),Albanyà,15 personas,5 dormitorios,9 camas
41€ pers./noche (aprox),S'Agaró,23 personas,8 dormitorios,17 camas
39€ pers./noche (aprox),Bàscara,Íntegro o habitaciones,"2 - 
  48 personas",11 dormitorios
34€ pers./noche (aprox),Riudaura,"2 - 
  14 personas",5 dormitorios,7 camas
22€ pers./noche (aprox),Olot,"12 - 
  22 personas",8 dormitorios,17 camas
25€ pers./noche (aprox),Vilallonga de Ter,"5 - 
  6 personas",8 dormitorios,5 camas
26€ pers./noche (aprox),Fontanilles,"2 - 
  28 personas",6 dormitorios,21 camas
28€ pers./noche (aprox),Capmany,6 personas,3 dormitorios,3 camas
28€ pers./noche (aprox),Capmany,8 personas,4 dormitorios,6 camas
35€ pers./noche (aprox),Ventalló,Íntegro o habitaciones,"2 - 
  20 personas",7 dormitorios
28€ pers./noche (aprox),Vilafreser,"1 - 
  24 personas",7 dormitorios,24 camas
29€ pers./noche (aprox),Els Hostalets d'en Bas,12 personas,6 dormitorios,10 camas
30€ pers./noche (aprox),Sant Sadurní de l'Heura,"2 - 
  28 personas",16 camas,30€ pers./noche (aprox)
17€ pers./noche (aprox),Riudarenes,"4 - 
  17 personas",6 dormitorios,14 camas
30€ pers./noche (aprox),Sant Mateu de Montnegre,"1 - 
  11 personas",5 dormitorios,9 camas
55€ pers./noche (aprox),Sant Martí de Llémena,Íntegro o habitaciones,"2 - 
  18 personas",6 dormitorios
28€ pers./noche (aprox),Sant Pau de Segúries,"2 - 
  30 personas",11 dormitorios,15 camas
22€ pers./noche (aprox),La Vall d'en Bas,7 personas,3 dormitorios,6 camas
39€ pers./noche (aprox),Sant Sadurní de l'Heura,"2 - 
  14 personas",1 dormitorio,9 camas
27€ pers./noche (aprox),Camós,"5 - 
  73 personas",48 camas,27€ pers./noche (aprox)
40€ pers./noche (aprox),Sant Andreu Salou,"4 - 
  22 personas",12 dormitorios,24 camas
30€ pers./noche (aprox),Pontós,"2 - 
  21 personas",9 dormitorios,13 camas
25€ pers./noche (aprox),Caldes de Malavella,"1 - 
  32 personas",4 dormitorios,26 camas
24€ pers./noche (aprox),Camós,"8 - 
  15 personas",7 dormitorios,14 camas
31€ pers./noche (aprox),Santa Coloma de Farners,"14 - 
  28 personas",10 dormitorios,19 camas
31€ pers./noche (aprox),Santa Pau,"2 - 
  18 personas",9 dormitorios,15 camas
27€ pers./noche (aprox),Sant Aniol de Finestres,"1 - 
  12 personas",6 dormitorios,12 camas
34€ pers./noche (aprox),Sant Feliu de Boada,"2 - 
  12 personas",5 dormitorios,9 camas
22€ pers./noche (aprox),Dosquers,"6 - 
  7 personas",3 dormitorios,7 camas
30€ pers./noche (aprox),Les Llosses,"8 - 
  23 personas",6 dormitorios,20 camas
24€ pers./noche (aprox),Viladamat,9 personas,4 dormitorios,7 camas
22€ pers./noche (aprox),Navata,"2 - 
  10 personas",4 dormitorios,9 camas
21€ pers./noche (aprox),Caldes de Malavella,"1 - 
  12 personas",5 dormitorios,12 camas
27€ pers./noche (aprox),Garriguella,"2 - 
  23 personas",8 dormitorios,17 camas
16€ pers./noche (aprox),Cassà de la Selva,"1 - 
  14 personas",5 dormitorios,11 camas
27€ pers./noche (aprox),S'Agaró,"2 - 
  10 personas",5 dormitorios,10 camas
33€ pers./noche (aprox),Camprodon,"1 - 
  16 personas",4 dormitorios,12 camas
33€ pers./noche (aprox),Olot,"19 - 
  21 personas",8 dormitorios,16 camas
33€ pers./noche (aprox),Porqueres,"4 - 
  24 personas",10 dormitorios,20 camas
20€ pers./noche (aprox),Riudarenes,15 personas,14 camas,20€ pers./noche (aprox)
17€ pers./noche (aprox),Les Preses,"15 - 
  22 personas",9 dormitorios,17 camas
23€ pers./noche (aprox),Espinelves,"2 - 
  6 personas",3 dormitorios,4 camas
16€ pers./noche (aprox),Masarac,"1 - 
  5 personas",3 dormitorios,4 camas
34€ pers./noche (aprox),Vidrà,"8 - 
  20 personas",7 dormitorios,18 camas
33€ pers./noche (aprox),Bonmatí,"2 - 
  8 personas",4 dormitorios,6 camas
13€ pers./noche (aprox),Vilobí d'Onyar,7 personas,1 dormitorio,4 camas
35€ pers./noche (aprox),Parlavà,"7 - 
  8 personas",3 dormitorios,7 camas
20€ pers./noche (aprox),Cadaqués,"1 - 
  11 personas",2 dormitorios,7 camas
18€ pers./noche (aprox),Sant Antoni de Calonge,"6 - 
  19 personas",7 dormitorios,13 camas
40€ pers./noche (aprox),Garrigàs,Íntegro o habitaciones,"1 - 
  13 personas",5 dormitorios
37€ pers./noche (aprox),Navata,"1 - 
  8 personas",5 dormitorios,5 camas
25€ pers./noche (aprox),Viladrau,"4 - 
  10 personas",4 dormitorios,6 camas
31€ pers./noche (aprox),Campelles,8 personas,4 dormitorios,5 camas
55€ pers./noche (aprox),Pals,Íntegro o habitaciones,"1 - 
  18 personas",6 dormitorios
25€ pers./noche (aprox),Les Llosses,"10 - 
  24 personas",7 dormitorios,23 camas
29€ pers./noche (aprox),Cistella,"10 - 
  24 personas",6 dormitorios,22 camas
27€ pers./noche (aprox),Pontós,15 personas,10 camas,27€ pers./noche (aprox)
21€ pers./noche (aprox),Pardines,13 personas,1 dormitorio,10 camas
26€ pers./noche (aprox),Vilademuls,"2 - 
  43 personas",19 dormitorios,35 camas
24€ pers./noche (aprox),Montagut i Oix,9 personas,5 dormitorios,6 camas
22€ pers./noche (aprox),Camprodon,"4 - 
  7 personas",3 dormitorios,5 camas
39€ pers./noche (aprox),Pontós,12 personas,6 dormitorios,6 camas
22€ pers./noche (aprox),Torroella de Montgrí,"2 - 
  17 personas",7 dormitorios,12 camas
29€ pers./noche (aprox),La Vall d'en Bas,"10 - 
  12 personas",5 dormitorios,9 camas
43€ pers./noche (aprox),Bordils,Íntegro o habitaciones,10 personas,8 dormitorios
37€ pers./noche (aprox),Calonge,10 personas,4 dormitorios,10 camas
29€ pers./noche (aprox),La Vall de Bianya,"1 - 
  10 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Llagostera,"2 - 
  58 personas",10 dormitorios,33 camas
23€ pers./noche (aprox),Sobrestany,7 personas,4 dormitorios,6 camas
37€ pers./noche (aprox),Viladrau,"1 - 
  16 personas",9 dormitorios,12 camas
50€ pers./noche (aprox),Santa Coloma de Farners,10 personas,5 dormitorios,7 camas
14€ pers./noche (aprox),Argelaguer,"1 - 
  18 personas",7 dormitorios,14 camas
30€ pers./noche (aprox),Serinyà,"4 - 
  15 personas",5 dormitorios,12 camas
35€ pers./noche (aprox),La Vall de Bianya,"2 - 
  5 personas",2 dormitorios,4 camas
60€ pers./noche (aprox),Camprodon,Íntegro o habitaciones,"2 - 
  22 personas",7 dormitorios
41€ pers./noche (aprox),Calonge,10 personas,4 dormitorios,7 camas
43€ pers./noche (aprox),Sant Jordi Desvalls,"4 - 
  11 personas",5 dormitorios,8 camas
20€ pers./noche (aprox),Calonge,"11 - 
  14 personas",5 dormitorios,12 camas
27€ pers./noche (aprox),Fontanilles,Íntegro o habitaciones,"2 - 
  15 personas",6 dormitorios
27€ pers./noche (aprox),La Vall de Bianya,"2 - 
  26 personas",7 dormitorios,19 camas
34€ pers./noche (aprox),Arbúcies,"1 - 
  10 personas",3 dormitorios,12 camas
23€ pers./noche (aprox),Capmany,14 personas,7 dormitorios,11 camas
31€ pers./noche (aprox),Espinavell,"2 - 
  5 personas",2 dormitorios,4 camas
35€ pers./noche (aprox),Sales de Llierca,11 personas,5 dormitorios,7 camas
19€ pers./noche (aprox),Cistella,10 personas,4 dormitorios,8 camas
21€ pers./noche (aprox),Albons,"4 - 
  15 personas",12 camas,21€ pers./noche (aprox)
32€ pers./noche (aprox),Canet d'Adri,"1 - 
  11 personas",3 dormitorios,8 camas
62€ pers./noche (aprox),Olot,41 personas,13 dormitorios,28 camas
32€ pers./noche (aprox),La Pera,"2 - 
  20 personas",6 dormitorios,14 camas
21€ pers./noche (aprox),Ribes de Freser,"1 - 
  14 personas",5 dormitorios,12 camas
29€ pers./noche (aprox),Sant Joan de les Abadesses,"1 - 
  22 personas",7 dormitorios,15 camas
35€ pers./noche (aprox),Les Pereres,Íntegro o habitaciones,"2 - 
  10 personas",3 dormitorios
14€ pers./noche (aprox),Cornellà del Terri,"2 - 
  18 personas",6 dormitorios,13 camas
18€ pers./noche (aprox),Pau,"2 - 
  9 personas",4 dormitorios,6 camas
29€ pers./noche (aprox),Puigcerdà,"4 - 
  24 personas",2 dormitorios,20 camas
26€ pers./noche (aprox),Rocabruna,"8 - 
  18 personas",6 dormitorios,16 camas
37€ pers./noche (aprox),Riudarenes,"8 - 
  14 personas",5 dormitorios,8 camas
24€ pers./noche (aprox),Sant Feliu de Buixalleu,"15 - 
  17 personas",7 dormitorios,12 camas
33€ pers./noche (aprox),Calonge,"14 - 
  14 personas",6 dormitorios,12 camas
